Ref,Val,Package,PosX,PosY,Rot,Side
"D104","LED_Small","LED_1206_3216Metric",133.169200,-79.037542,0.000000,top
"D105","LED_Small","LED_1206_3216Metric",138.985800,-79.037542,0.000000,top
"D106","LED_Small","LED_1206_3216Metric",144.802400,-79.037542,0.000000,top
"D107","LED_Small","LED_1206_3216Metric",150.619000,-79.037542,0.000000,top
"D108","LED_Small","LED_1206_3216Metric",156.435600,-79.037542,0.000000,top
"D109","LED_Small","LED_1206_3216Metric",162.252200,-79.037542,0.000000,top
"D110","LED_Small","LED_1206_3216Metric",168.068800,-79.037542,0.000000,top
"D111","LED_Small","LED_1206_3216Metric",173.885400,-79.037542,0.000000,top
"D112","LED_Small","LED_1206_3216Metric",179.702000,-79.037542,0.000000,top
"D113","LED_Small","LED_1206_3216Metric",92.453000,-83.616800,0.000000,top
"D114","LED_Small","LED_1206_3216Metric",98.269600,-83.616800,0.000000,top
"D115","LED_Small","LED_1206_3216Metric",104.086200,-83.616800,0.000000,top
"D116","LED_Small","LED_1206_3216Metric",109.902800,-83.616800,0.000000,top
"D117","LED_Small","LED_1206_3216Metric",115.719400,-83.616800,0.000000,top
"D118","LED_Small","LED_1206_3216Metric",121.536000,-83.616800,0.000000,top
"D119","LED_Small","LED_1206_3216Metric",127.352600,-83.616800,0.000000,top
"D120","LED_Small","LED_1206_3216Metric",133.169200,-83.616800,0.000000,top
"D121","LED_Small","LED_1206_3216Metric",138.985800,-83.616800,0.000000,top
"D122","LED_Small","LED_1206_3216Metric",144.802400,-83.616800,0.000000,top
"D123","LED_Small","LED_1206_3216Metric",150.619000,-83.616800,0.000000,top
"D124","LED_Small","LED_1206_3216Metric",156.435600,-83.616800,0.000000,top
"D125","LED_Small","LED_1206_3216Metric",162.252200,-83.616800,0.000000,top
"D126","LED_Small","LED_1206_3216Metric",168.068800,-83.616800,0.000000,top
"D127","LED_Small","LED_1206_3216Metric",173.885400,-83.616800,0.000000,top
"D128","LED_Small","LED_1206_3216Metric",179.702000,-83.616800,0.000000,top
"J1","USB_B_Micro-Connector","usb_micro_microXNJ",181.610000,-92.710000,270.000000,top
"J3","USB_B_Micro-Connector","USB_Micro-B_Molex-105017-0001",180.880500,-103.936800,90.000000,top
"R1","4.7k","R_0805_2012Metric",128.524000,-91.286000,270.000000,top
"R2","1k","R_0805_2012Metric",163.385500,-101.518399,0.000000,top
"R3","100k","R_0805_2012Metric",163.385500,-103.759000,180.000000,top
"R4","4.7k","R_0805_2012Metric",132.065000,-91.286000,90.000000,top
"R5","100k","R_0805_2012Metric",153.416000,-95.543750,180.000000,top
"R6","100k","R_0805_2012Metric",148.503000,-101.518399,180.000000,top
"R7","100k","R_0805_2012Metric",148.503000,-103.835200,180.000000,top
"R8","150k","R_0805_2012Metric",169.354500,-103.759000,0.000000,top
"R9","100k","R_0805_2012Metric",141.973300,-101.518399,0.000000,top
"R10","100k","R_0805_2012Metric",141.920600,-103.835200,180.000000,top
"R11","4.7k","R_0805_2012Metric",135.636000,-95.930400,270.000000,top
"R12","4.7k","R_0805_2012Metric",132.110000,-95.930400,270.000000,top
"R13","10k","R_0805_2012Metric",122.783600,-102.819200,270.000000,top
"R14","10k","R_0805_2012Metric",119.176800,-103.835200,270.000000,top
"R15","4.7k","R_0805_2012Metric",126.492000,-102.819200,270.000000,top
"R16","1k","R_0805_2012Metric",133.985000,-113.919000,270.000000,top
"R17","1k","R_0805_2012Metric",136.525000,-113.919000,270.000000,top
"RV1","20k","HDK_potentiometer",169.037000,-107.696000,0.000000,top
"U1","MCP6002","SOIC-8_3.9x4.9mm_P1.27mm",156.654500,-103.268399,0.000000,top
"U2","CJ431","SOT-23",163.365500,-106.807000,180.000000,top
"U3","ATtiny1614-SS","SOIC-14_3.9x8.7mm_P1.27mm",120.674001,-94.186000,0.000000,top
"U4","TM1640","SOIC-28W_7.5x17.9mm_P1.27mm",102.463600,-98.856800,0.000000,top
